エージェント,カテゴリ,KPI ID,KPI名,レベル,目標値,単位,実績値,達成率,ベンチマーク下限,ベンチマーク上限,現実性判定,備考
🎯 COMMANDER,財務KGI,cmd_001,年商,KGI,1300000000,円,,0%,1000000000,1500000000,,
🎯 COMMANDER,財務KGI,cmd_002,営業利益,KGI,195000000,円,,0%,130000000,260000000,,
🎯 COMMANDER,財務KGI,cmd_003,営業利益率,KGI,15,%,,0%,10,20,,
🎯 COMMANDER,財務KGI,cmd_004,粗利,KPI-L1,845000000,円,,0%,650000000,910000000,,
🎯 COMMANDER,財務KGI,cmd_005,粗利率,KPI-L1,65,%,,0%,55,75,,
🎯 COMMANDER,財務KGI,cmd_006,ROIC,KPI-L1,25,%,,0%,15,35,,
🎯 COMMANDER,財務KGI,cmd_007,月商,KPI-L2,108000000,円,,0%,83000000,125000000,,
🎯 COMMANDER,財務KGI,cmd_008,日商,KPI-L2,3600000,円,,0%,2800000,4200000,,
🎯 COMMANDER,財務KGI,cmd_009,FCF,KPI-L2,150000000,円,,0%,100000000,200000000,,
🎯 COMMANDER,ユニットエコノミクス,cmd_010,LTV-CPA,KGI,9462,円,,0%,5000,15000,,
🎯 COMMANDER,ユニットエコノミクス,cmd_011,LTV÷CPA,KGI,3.0,倍,,0%,2.0,5.0,,
🎯 COMMANDER,ユニットエコノミクス,cmd_012,粗利LTV,KPI-L1,9750,円,,0%,6000,15000,,
🎯 COMMANDER,ユニットエコノミクス,cmd_013,粗利LTV-CPA,KPI-L1,4212,円,,0%,2000,10000,,
🎯 COMMANDER,ユニットエコノミクス,cmd_014,新規既存売上比率（新規）,KPI-L2,60,%,,0%,40,70,,
🎯 COMMANDER,ユニットエコノミクス,cmd_015,顧客資産価値総額,KPI-L2,1300000000,円,,0%,1000000000,1500000000,,
🎯 COMMANDER,チャネル別売上,cmd_016,Amazon売上,KPI-L1,550000000,円,,0%,400000000,650000000,,
🎯 COMMANDER,チャネル別売上,cmd_017,楽天売上,KPI-L1,350000000,円,,0%,250000000,450000000,,
🎯 COMMANDER,チャネル別売上,cmd_018,自社EC売上,KPI-L1,300000000,円,,0%,200000000,400000000,,
🎯 COMMANDER,チャネル別売上,cmd_019,B2B売上,KPI-L1,100000000,円,,0%,50000000,150000000,,
🎯 COMMANDER,チャネル別売上,cmd_020,Amazon構成比,KPI-L2,42,%,,0%,30,50,,
🎯 COMMANDER,チャネル別売上,cmd_021,楽天構成比,KPI-L2,27,%,,0%,20,35,,
📈 ACQUISITION,集客KGI,acq_001,広告経由売上,KGI,650000000,円,,0%,500000000,800000000,,
